session_id,event_type,timestamp,page,event_data
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:33:18.538Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1202}"
session_1761946026261_778t3192a,page_visible,2025-10-31T21:33:22.951Z,podium,{}
session_1761945339854_4agjst254,page_visible,2025-10-31T21:33:23.198Z,podium,{}
session_1761945339854_4agjst254,time_update,2025-10-31T21:33:28.015Z,podium,"{""timeOnPage"": 30, ""totalTime"": 382}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:33:32.297Z,podium,"{""timeOnPage"": 9, ""totalTime"": 471}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:33:36.275Z,podium,"{""timeOnPage"": 13, ""totalTime"": 371}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:33:58.032Z,podium,"{""timeOnPage"": 30, ""totalTime"": 413}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:34:02.439Z,podium,"{""timeOnPage"": 30, ""totalTime"": 501}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:34:06.265Z,podium,"{""timeOnPage"": 30, ""totalTime"": 401}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:34:18.540Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1262}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:34:28.034Z,podium,"{""timeOnPage"": 30, ""totalTime"": 443}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:34:32.453Z,podium,"{""timeOnPage"": 30, ""totalTime"": 531}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:34:36.275Z,podium,"{""timeOnPage"": 30, ""totalTime"": 431}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:34:58.084Z,podium,"{""timeOnPage"": 30, ""totalTime"": 473}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:35:02.465Z,podium,"{""timeOnPage"": 30, ""totalTime"": 561}"
session_1761946026261_778t3192a,time_update,2025-10-31T21:35:06.268Z,podium,"{""timeOnPage"": 30, ""totalTime"": 461}"
session_1761945196255_tkphcgf6s,time_update,2025-10-31T21:35:18.533Z,podium,"{""timeOnPage"": 60, ""totalTime"": 1322}"
session_1761945339854_4agjst254,time_update,2025-10-31T21:35:28.204Z,podium,"{""timeOnPage"": 30, ""totalTime"": 503}"
